Time,XLAT,XLONG,T2_daily_max,T2_daily_mean,RH2_daily_min,RH2_daily_mean,WSP10_daily_max,WSP10_daily_mean,RAINNC_daily
1991-08-31,34.422874,-119.69203,300.91974,291.198,56.74846,83.7573,4.350323,1.7557826,4.2876647057710215e-05
1991-09-01,34.422874,-119.69203,304.73578,295.5541,47.04434,80.963524,3.0578127,1.5781952,6.494519766420126e-08
1991-09-02,34.422874,-119.69203,306.1685,298.15564,42.84064,76.068565,2.8639636,1.3726805,0.0
1991-09-03,34.422874,-119.69203,306.057,299.1615,43.429703,75.364494,2.3525803,1.2760655,4.71482053399086e-08
1991-09-04,34.422874,-119.69203,305.51083,299.34866,46.88807,73.80624,3.3158662,1.7124428,0.0
1991-09-05,34.422874,-119.69203,306.45697,300.20517,47.58292,78.368195,3.5913758,1.4549326,0.0
1991-09-06,34.422874,-119.69203,307.151,299.6945,28.180008,72.64922,4.023667,1.7378191,6.350364134825213
1991-09-07,34.422874,-119.69203,304.07104,298.1981,56.537136,75.55363,2.5744483,1.4872228,1.2333059310913086
1991-09-08,34.422874,-119.69203,303.32968,298.7219,57.992397,82.08129,2.8098674,1.7079402,0.3242216110229492
1991-09-09,34.422874,-119.69203,301.60162,295.72266,58.109215,78.36802,2.9877691,1.5697294,7.873701572418213
1991-09-10,34.422874,-119.69203,298.61508,292.0784,41.412537,65.39763,3.3344784,1.7039841,0.0
1991-09-11,34.422874,-119.69203,301.71454,294.37946,47.52634,68.13174,3.1280963,1.5084299,0.0
1991-09-12,34.422874,-119.69203,302.81696,296.47983,46.18082,67.26755,3.8698707,2.107248,0.0
1991-09-13,34.422874,-119.69203,302.67566,296.92456,51.693394,74.54756,3.140951,1.6404506,0.0
1991-09-14,34.422874,-119.69203,302.80334,296.59775,53.760036,78.064674,3.178339,1.7046705,0.0
1991-09-15,34.422874,-119.69203,303.56012,296.97092,48.218975,73.50615,3.2048085,1.4297916,0.0
1991-09-16,34.422874,-119.69203,307.05206,298.34604,38.340813,69.54943,2.5700586,1.5243267,0.0
1991-09-17,34.422874,-119.69203,307.67865,299.5732,42.00668,74.95126,2.7874186,1.6678718,0.0
1991-09-18,34.422874,-119.69203,307.68527,300.4487,44.661438,76.011,3.023993,1.7036055,0.0
1991-09-19,34.422874,-119.69203,306.96582,301.1069,48.94376,75.146736,2.870217,1.7570953,0.0
1991-09-20,34.422874,-119.69203,305.75372,301.0352,54.454987,75.38375,2.903127,1.5449368,0.0
1991-09-21,34.422874,-119.69203,305.27023,297.61392,51.453815,70.268364,4.6465178,1.6641666,2.833250045776367
1991-09-22,34.422874,-119.69203,306.03244,299.77817,42.250546,70.09431,2.5359538,1.440643,0.0
1991-09-23,34.422874,-119.69203,308.2564,300.90674,34.8104,62.17462,3.5393906,1.4669155,0.0
1991-09-24,34.422874,-119.69203,308.76495,301.9031,26.507008,54.600758,2.4680893,1.2446659,0.0
1991-09-25,34.422874,-119.69203,308.23575,301.45605,35.71359,66.272675,2.1608262,1.3555464,0.0
1991-09-26,34.422874,-119.69203,306.42484,300.03812,34.772297,65.03367,2.798519,1.554593,0.0
1991-09-27,34.422874,-119.69203,305.15527,298.45462,34.993763,67.30295,2.8099647,1.4271231,0.0
1991-09-28,34.422874,-119.69203,305.11676,298.40805,37.53486,69.19573,2.2789648,1.490201,0.0
1991-09-29,34.422874,-119.69203,305.07645,298.64386,40.053585,67.392456,2.5617957,1.4161229,0.0
1991-09-30,34.422874,-119.69203,306.93622,299.64655,30.295164,61.73895,1.9565443,0.93849087,0.0
1991-10-01,34.422874,-119.69203,311.9357,300.9464,20.089376,57.64558,3.1637347,1.355357,0.0
1991-10-02,34.422874,-119.69203,312.52667,305.69968,15.55296,30.732428,7.2234263,2.539595,0.0
1991-10-03,34.422874,-119.69203,311.37625,301.9469,16.475536,47.14915,4.198178,1.8247038,0.0
1991-10-04,34.422874,-119.69203,309.03677,300.89087,25.874731,56.256443,2.1168058,1.4080906,0.0
1991-10-05,34.422874,-119.69203,307.50723,300.66586,30.50075,54.96445,1.8933595,1.3065262,0.0
1991-10-06,34.422874,-119.69203,307.48178,300.23752,28.59696,49.948544,2.3041046,1.4359409,0.0
1991-10-07,34.422874,-119.69203,308.07568,300.11462,23.293175,46.510376,2.597873,1.2625381,0.0
1991-10-08,34.422874,-119.69203,307.7388,299.6585,23.132816,45.879375,1.9650248,1.0340935,0.0
1991-10-09,34.422874,-119.69203,307.24207,298.1221,20.729391,46.866364,2.3681834,1.215699,0.0
1991-10-10,34.422874,-119.69203,311.7718,300.5974,11.219142,32.44602,2.2427814,1.074573,0.0
1991-10-11,34.422874,-119.69203,310.9643,301.85696,11.424984,32.287815,2.9119685,1.3605205,0.0
1991-10-12,34.422874,-119.69203,309.19202,301.47025,12.109008,34.589504,3.362802,1.6560928,0.0
1991-10-13,34.422874,-119.69203,307.5684,300.78452,21.835276,38.851604,2.3593926,1.4725367,0.0
1991-10-14,34.422874,-119.69203,309.75922,300.9947,19.27461,43.41487,2.0843308,1.2127945,0.0
1991-10-15,34.422874,-119.69203,309.86212,300.90176,16.321024,38.54791,2.776294,1.6047997,0.0
1991-10-16,34.422874,-119.69203,308.7386,300.04773,17.290506,38.63361,2.114869,1.4039768,0.0
1991-10-17,34.422874,-119.69203,306.4438,299.09616,22.904032,44.127224,2.0000222,1.3285004,0.0
1991-10-18,34.422874,-119.69203,309.7558,299.38974,15.311631,38.985306,2.6336558,1.3613033,0.0
1991-10-19,34.422874,-119.69203,311.53375,304.58438,7.322,16.496958,8.214308,4.4643083,0.0
1991-10-20,34.422874,-119.69203,309.19028,299.90237,9.324772,22.278091,3.932771,1.7399064,0.0
1991-10-21,34.422874,-119.69203,307.32312,298.13498,13.360852,36.14048,2.985602,1.7860736,0.0
1991-10-22,34.422874,-119.69203,302.14362,294.07776,33.05229,57.378864,2.5998669,1.73416,0.0
1991-10-23,34.422874,-119.69203,297.54504,292.52234,37.212112,55.823338,3.5202317,1.3422761,0.0
1991-10-24,34.422874,-119.69203,296.80862,288.93057,13.594494,32.099216,3.949873,2.1392186,0.0
1991-10-25,34.422874,-119.69203,297.56583,289.93448,16.548979,33.92132,5.1373286,3.0943375,0.0
1991-10-26,34.422874,-119.69203,295.74475,290.47787,36.815983,64.28158,5.1429663,2.8670623,0.6986198425292969
1991-10-27,34.422874,-119.69203,294.2006,288.1177,18.335503,52.025497,7.0929804,4.173556,5.870416641235352
1991-10-28,34.422874,-119.69203,295.326,288.31836,18.147087,29.955462,4.8315454,2.0641224,0.0
1991-10-29,34.422874,-119.69203,295.88724,288.7286,16.653711,31.969622,6.659619,2.4837677,0.0
1991-10-30,34.422874,-119.69203,294.09113,288.32346,29.032991,48.406628,6.887753,2.8128633,0.0
1991-10-31,34.422874,-119.69203,296.35852,289.18033,18.829018,42.94695,2.2829428,1.2900714,0.0
1991-11-01,34.422874,-119.69203,298.9088,289.83224,14.208646,32.005993,2.2026553,1.17817,0.0
1991-11-02,34.422874,-119.69203,298.91986,291.28723,15.247678,32.336903,2.4040484,1.3620173,0.0
1991-11-03,34.422874,-119.69203,300.74106,293.10156,17.990637,33.18501,1.5380017,1.0676218,0.0
1991-11-04,34.422874,-119.69203,302.0948,293.6246,17.083866,38.1439,2.210549,1.1962394,0.0
1991-11-05,34.422874,-119.69203,304.0173,294.03146,17.598837,40.538677,2.568815,1.1708778,0.0
1991-11-06,34.422874,-119.69203,305.37494,296.42596,17.960396,38.397808,2.1005478,1.0244682,0.0
1991-11-07,34.422874,-119.69203,304.61804,297.51596,20.14235,35.334038,2.0377126,1.1899942,0.0
1991-11-08,34.422874,-119.69203,303.5379,297.59476,22.098085,37.48167,1.512608,1.0262922,0.0
1991-11-09,34.422874,-119.69203,300.9148,293.9669,30.979918,67.92736,3.0457098,1.4525939,0.0
1991-11-10,34.422874,-119.69203,301.51773,292.86484,31.918295,66.03122,3.4680102,1.6360282,0.0
1991-11-11,34.422874,-119.69203,302.384,294.8008,23.294662,45.663746,3.2311618,1.5417109,0.0
1991-11-12,34.422874,-119.69203,302.65906,295.5056,13.136065,29.599722,3.6034071,1.3625449,0.0
1991-11-13,34.422874,-119.69203,303.52283,293.8445,14.763213,32.398243,3.7245622,1.174498,0.0
1991-11-14,34.422874,-119.69203,301.29297,290.05026,14.952543,38.842308,6.479857,3.940777,0.0
1991-11-15,34.422874,-119.69203,293.84354,286.46927,15.416779,37.3772,5.525981,3.7281532,0.0
1991-11-16,34.422874,-119.69203,292.699,286.81024,18.36131,29.217333,3.4534872,1.5193106,0.0
1991-11-17,34.422874,-119.69203,291.96027,285.9134,21.345652,35.70631,1.5155026,1.0319167,0.09485816955566406
1991-11-18,34.422874,-119.69203,294.80548,287.0153,15.112211,61.7724,4.4711466,1.4951391,3.7907676696777344
1991-11-19,34.422874,-119.69203,296.34283,287.45474,12.980218,33.652218,4.6811748,1.5967699,0.0
1991-11-20,34.422874,-119.69203,297.0057,288.824,15.267422,34.8466,1.8489531,1.0177155,0.0
1991-11-21,34.422874,-119.69203,298.04013,290.9266,22.395393,34.55983,2.5391839,1.4293319,0.0
1991-11-22,34.422874,-119.69203,298.4096,289.96713,18.006067,39.471886,4.174793,1.3488488,0.0
1991-11-23,34.422874,-119.69203,297.8905,290.95224,8.402317,32.8921,2.1159222,1.0394262,0.0
1991-11-24,34.422874,-119.69203,298.5674,291.2111,9.193481,18.52007,2.2385852,1.2846609,0.0
1991-11-25,34.422874,-119.69203,299.56882,290.8884,11.770374,27.217634,2.222816,1.0742882,0.0
1991-11-26,34.422874,-119.69203,299.99728,292.1848,13.024882,25.882584,1.6458781,0.87767076,0.0
1991-11-27,34.422874,-119.69203,298.17935,289.86935,14.526611,36.59569,5.703271,1.4399525,0.0
1991-11-28,34.422874,-119.69203,293.40982,286.45908,12.880838,36.500336,5.920456,3.3426263,0.0
1991-11-29,34.422874,-119.69203,291.50034,286.41525,13.623377,24.522118,6.671889,3.0976946,0.0
1991-11-30,34.422874,-119.69203,289.5984,283.59442,11.207698,20.660177,6.9686375,2.8440275,0.0
1992-08-31,34.422874,-119.69203,296.32733,289.82596,61.294647,83.23639,4.2812862,1.9857036,1.9480508413251708e-15
1992-09-01,34.422874,-119.69203,297.90247,291.65695,63.90684,84.224495,3.4264274,1.7202806,3.5543635395524275e-07
1992-09-02,34.422874,-119.69203,300.34686,293.68848,60.68077,84.05817,3.0475523,1.4964789,8.526512829121202e-14
1992-09-03,34.422874,-119.69203,302.41003,295.73547,37.651913,75.45181,5.3191338,1.6850204,5.676611181115732e-09
1992-09-04,34.422874,-119.69203,301.6258,294.7527,31.591269,55.61795,5.639468,3.148158,0.0
1992-09-05,34.422874,-119.69203,304.824,295.78024,34.268158,66.98813,4.0056715,1.7416301,2.028982635238208e-07
1992-09-06,34.422874,-119.69203,304.24625,297.30765,38.30768,73.20942,3.4538968,1.7161578,1.1993961379630491e-11
1992-09-07,34.422874,-119.69203,303.1436,295.70407,40.69865,66.004974,3.569774,1.4953265,0.0
1992-09-08,34.422874,-119.69203,302.6456,295.79892,46.843082,74.09589,3.286005,1.7332989,0.0
1992-09-09,34.422874,-119.69203,302.16452,295.14987,48.59904,74.39769,3.3483562,1.6736957,0.0
1992-09-10,34.422874,-119.69203,302.30322,295.9597,52.298016,79.78202,3.1521661,1.6436678,0.0
1992-09-11,34.422874,-119.69203,302.52835,296.6163,54.739944,78.68271,3.578721,1.6388429,0.0
