Time,XLAT,XLONG,T2_daily_max,T2_daily_mean,RH2_daily_min,RH2_daily_mean,WSP10_daily_max,WSP10_daily_mean,RAINNC_daily
1991-08-31,38.49312,-120.29199,300.3401,293.94565,22.141773,37.656006,3.15528,1.7452248,0.0
1991-09-01,38.49312,-120.29199,301.3371,294.68082,20.755836,33.32987,3.427472,1.8070217,0.0
1991-09-02,38.49312,-120.29199,302.41315,296.58463,24.50647,37.41076,3.8368163,2.163007,0.0
1991-09-03,38.49312,-120.29199,304.32947,298.1638,15.593945,32.06249,3.3161054,1.8909005,0.0
1991-09-04,38.49312,-120.29199,304.82755,299.03775,18.259916,25.730858,3.3045235,2.085655,0.0
1991-09-05,38.49312,-120.29199,302.97958,297.33362,20.489813,30.473732,6.186495,2.179352,0.17543961107730865
1991-09-06,38.49312,-120.29199,296.2979,291.9163,45.637196,67.30174,4.0636215,2.1124492,28.25877285003662
1991-09-07,38.49312,-120.29199,296.1452,290.8378,52.621773,79.22677,3.9258835,1.6172367,5.5119171142578125
1991-09-08,38.49312,-120.29199,297.3372,292.27866,37.981907,60.729984,4.607402,2.4831355,0.0
1991-09-09,38.49312,-120.29199,295.0111,288.65286,25.085306,52.753788,4.865126,2.1162856,0.0
1991-09-10,38.49312,-120.29199,292.57562,286.9576,30.09569,57.343403,3.7272954,1.8652443,0.00759124755859375
1991-09-11,38.49312,-120.29199,296.2793,289.672,27.865614,49.7255,4.1649475,1.7283045,0.0
1991-09-12,38.49312,-120.29199,298.32434,292.13382,16.707113,33.736477,4.8562903,2.0683167,0.0
1991-09-13,38.49312,-120.29199,299.25485,293.18372,21.828959,33.591263,3.6113205,1.8391562,0.0
1991-09-14,38.49312,-120.29199,298.4311,293.03302,21.36893,35.54829,3.5238388,2.0149539,0.0
1991-09-15,38.49312,-120.29199,300.676,294.25955,15.442763,33.65932,4.604128,2.1980982,0.0
1991-09-16,38.49312,-120.29199,302.53265,296.3193,15.871286,28.19964,3.7386746,2.0625055,0.0
1991-09-17,38.49312,-120.29199,303.51395,297.38486,7.420582,21.475775,3.7722006,1.9371415,0.0
1991-09-18,38.49312,-120.29199,304.12128,298.02432,11.620103,18.317677,3.4355452,1.9686037,0.0
1991-09-19,38.49312,-120.29199,303.4723,298.25766,14.520484,23.65149,3.4305694,2.0089552,0.0
1991-09-20,38.49312,-120.29199,302.37366,297.0706,24.880466,32.142735,3.4530885,1.7901317,0.0
1991-09-21,38.49312,-120.29199,301.2746,295.99344,21.059788,38.037342,3.6204152,2.0107462,0.0
1991-09-22,38.49312,-120.29199,302.43747,296.39185,19.357302,30.446531,3.5309181,1.9013395,0.0
1991-09-23,38.49312,-120.29199,302.85117,296.68777,9.913484,23.680603,3.1867452,1.9035422,0.0
1991-09-24,38.49312,-120.29199,304.33047,297.0864,12.565385,16.752531,4.568145,2.924158,0.0
1991-09-25,38.49312,-120.29199,302.35138,297.44275,16.622694,20.90759,3.4101186,2.1051602,0.0
1991-09-26,38.49312,-120.29199,301.37585,294.62735,19.943485,43.240726,5.4816885,2.4164338,0.0
1991-09-27,38.49312,-120.29199,298.1985,293.00986,29.1196,47.825962,3.819029,2.0117495,0.0
1991-09-28,38.49312,-120.29199,297.86792,292.68878,27.26682,45.79701,3.6694627,1.9119786,0.0
1991-09-29,38.49312,-120.29199,299.909,293.81653,21.416853,40.27345,3.9791172,1.788947,0.0
1991-09-30,38.49312,-120.29199,301.0464,295.10458,25.93122,36.092003,4.2606616,2.164262,0.0
1991-10-01,38.49312,-120.29199,303.0877,296.40106,18.478708,31.373917,4.4296937,1.981896,0.0
1991-10-02,38.49312,-120.29199,302.98035,296.8965,14.204955,26.764894,3.7906108,2.0788429,0.0
1991-10-03,38.49312,-120.29199,302.9735,296.60294,9.521662,21.599443,3.8154693,1.8801818,0.0
1991-10-04,38.49312,-120.29199,302.51282,296.70456,14.826232,21.290272,2.901196,1.8210193,0.0
1991-10-05,38.49312,-120.29199,301.06738,295.59573,21.278862,30.261595,3.2407458,2.1278424,0.0
1991-10-06,38.49312,-120.29199,299.90698,294.5416,23.846268,35.593597,3.3931139,2.111645,0.0
1991-10-07,38.49312,-120.29199,298.97647,293.71533,16.792286,30.08696,3.8816233,1.9951248,0.0
1991-10-08,38.49312,-120.29199,298.85645,292.85724,18.387339,25.912766,3.2380126,2.0097215,0.0
1991-10-09,38.49312,-120.29199,302.25443,294.37805,10.650047,21.95732,6.0653663,3.1884642,0.0
1991-10-10,38.49312,-120.29199,303.11688,295.70618,10.13453,18.01718,4.15709,2.8604147,0.0
1991-10-11,38.49312,-120.29199,301.98108,295.7028,12.502053,20.196619,6.7034397,2.9221117,0.09649658203125
1991-10-12,38.49312,-120.29199,300.4558,294.3627,18.624306,27.124405,4.0144753,2.2843614,0.030666351318359375
1991-10-13,38.49312,-120.29199,302.34503,295.81387,11.5911875,23.642931,3.7991648,2.0461361,0.0
1991-10-14,38.49312,-120.29199,303.17963,296.4541,9.652359,17.911589,3.7022886,2.152748,0.0
1991-10-15,38.49312,-120.29199,302.2353,296.30203,13.473541,17.035307,2.9549024,1.7820228,0.0
1991-10-16,38.49312,-120.29199,299.72076,294.21848,15.050013,24.299555,3.6883602,2.1463165,0.0
